paper_id,title,abstract,llm_relevant,llm_reasoning,human_decision,human_notes
35564,"Women, Migration and Social Work","Recent events in the United Kingdom have implications for the migration of women. Migrant women feature significantly in the staffing of the National Health Service and the social care sector, both currently under economic and political pressure. International labor mobility is also evident in the social work profession, though transnational social workers constitute only a very small proportion of the workforce. The recent vote to leave the European Union (EU) raises questions about the trend from recruitment of social workers from English-speaking countries to those from the EU. The role of social workers in relation to migrants is considered.",True,"The paper explicitly addresses international labor mobility, migrant women workers in the health and social care sectors, and transnational social workers as a workforce, directly engaging with employment migration and labor market dynamics.",TRUE,
109492,Human Rights of Forced Migrants During the COVID-19 Pandemic: An Opportunity for Mobilization and Solidarity,"The question of human mobility is inextricably tied to the COVID-19 pandemic that started in late 2019 and whose effects continue to unfold. Human mobility—especially with global advances in transportation and interconnectedness—is an important factor in the spread of the pandemic. Yet, the impact of the COVID-19 pandemic on the millions of people forced to migrate for safety and economic reasons has received little attention. In this article, we provide an overview of human rights challenges that forced migrants currently face during this pandemic. While we do not address all dimensions of the impact COVID-19, we highlight several troubling situations that have emerged for refugees and asylum seekers. These include entry restrictions into some countries that had formerly welcomed asylum seekers, overt and covert forms of exclusion of migrants from labor markets due to rising unemployment and economic hardship, and implementing new deportation policies, as well as new exclusionary policies for immigrants who would have been authorized to work in past. Without concerted efforts to amplify solidarity with all forced migrants and ensure their human rights, discriminatory and restrictionist policies enacted in the Global North over the past decade will become entrenched. As a result, fewer refugees and asylum seekers will be accorded protection and continue to face violence and persecution in their home countries.",False,"While the paper mentions labor market exclusion and work authorization issues, it primarily focuses on refugees and asylum seekers (forced migrants) broadly during COVID-19, addressing general human rights challenges rather than substantively centering on migrant workers or labor conditions.",FALSE,
71226,"From Innocence to Survival: The Harrowing Realities Faced by Migrant Children in Johannesburg, South Africa","This study aimed to explore the harrowing realities faced by migrant children in Johannesburg, South Africa, from their informal caregivers. A qualitative exploratory case study design was adopted. The purpose-sampling technique was used to sample 12 caregivers who care for migrant children. Caregivers received informed consent to provide written consent prior to data collection. After providing consent, researchers collect data from informal caregivers using semi-structured face-to-face interviews and had an interview guide to help with interviews. This method of data collection allowed caregivers to share their own comprehensive narratives on the challenges faced by migrant children in Johannesburg, South Africa. Data was collected until the saturation level. The collected data was thematically analysed using Braun and Clarke’s suggested steps of data analysis. Informal caregivers have also shared that migrant children experience multifaceted challenges, including financial stress due to the loss of the breadwinner through deportation, among others. Some of the children find themselves homeless and only find basic human needs through informal caregivers. However, even after finding temporary shelter, some of the children are denied access to education, exploited, and abused in the community because they were abandoned by their parents. However, these children have noticeable resilience in the form of various coping mechanisms that they use to address their challenges. The study concludes that not only caregivers experience challenges, but also children in their care face multifaceted challenges. Thus, the paper calls for collaborative efforts of different stakeholders to provide support to migrant children, especially after their parents’ deportation.",True,"The paper addresses children of migrant workers affected by parental deportation (referencing 'loss of the breadwinner through deportation'), placing it within the 'families of migrant workers' category, though the primary focus is on child welfare challenges rather than labor conditions per se.",TRUE,
127694,The Overrepresentation of Black Youth in the Quebec Social Service System: Issues and Perspectives,"An exploration of the widely held belief by black social workers that black children from the West Indies of African descent are overrepresented in the social services system of Montreal, Quebec, draws on personal experiences in the Quebecois social service system. Citing case examples & research studies, the immigration patterns of Anglophone Caribbeans are examined, noting that parents seeking work in Canada typically leave children behind in the native land in the care of relatives for later reunifications. Societal, linguistic, & parenting issues interfere with the reunification, making integration in the family difficult. When the immigrant parents punish their ""rebellious"" children for not cooperating in a new restrictive living situation, Canadian youth service intervenes to prevent physical abuse. Culturally determined problem-solving behaviors of Caribbean parents are misunderstood by workers in the Canadian system. 17 References. J. Sadler",True,"The paper explicitly addresses transnational family separation caused by labor migration (parents seeking work in Canada leaving children behind in the Caribbean) and subsequent family reunification issues involving social services, directly falling under the 'families of migrant workers' criterion.",TRUE,
70841,Diversity in Canada: Predictors of the perceptions of social interactions,"Canada is one of the most diverse countries in the world, but do Canadians accept diversity? This study examines the factors that predict the perceptions of social interactions among individuals in Canada. The data were obtained from the Ethnic Diversity Survey (EDS) conducted by Statistics Canada and the Department of Canadian Heritage in 2002. Multivariate analyses were applied to investigate whether individuals' racial, linguistic, religious, socioeconomic, and immigrant status influence their perceptions of their social interactions. The data comprised 41,695 responses from individuals in ten provinces of Canada, using a computer-assisted telephone interview method. The logistic regression results indicate that it is likely that people who belong to a visible minority, have lower socioeconomic status, speak non-official languages, and follow a religion other than Christianity feel discriminated against, uncomfortable/out-of-place, and worried about becoming a victim of hate-crime in Canada. The French-speaking people also feel discriminated against and out-of-place in Canada. This study informs us about the public attitude on the dynamics of social interactions in a multicultural and mufti-racial society. It reinforces the need for community-based researchers, community development workers and policy makers to address discrimination and hostility and to invest in programs and policies that promote an inclusive society in Canada.",False,"The study examines immigrant status as one demographic variable among many (race, language, religion, SES) predicting perceptions of social interactions and discrimination in Canadian society, but does not focus on work, labor conditions, employment-related migration, or migrant workers specifically.",FALSE,
28117,Reliability and validity of a Spanish version of the Posttraumatic Growth Inventory,"Objectives. This study was designed to adapt and validate a Spanish translation of the Posttraumatic Growth Inventory (PTGI) for the assessment of positive life changes following the stressful experiences of immigration. Method. A cross-cultural equivalence model was used to pursue semantic, content, conceptual, and technical equivalence. Translation teams and back translations were employed for semantic and content equivalence. Conceptual and technical equivalence were assessed through field-testing the reliability and, factor structure of the translated PTGI in a sample of 100 Latina immigrants. Results. The translated version was highly reliable. Factor analysis failed to replicate the original five factors but the three factors identified were consistent with the conceptual underpinnings of the PTGI and another translated version. Conclusions. Semantic, content, conceptual, and technical equivalence of the Spanish version of the PTGI were supported and thus its valid use for research and practice with the study population.",False,"The paper focuses on validating a psychological assessment tool (Posttraumatic Growth Inventory) in a sample of Latina immigrants experiencing immigration-related stress, without addressing work, employment, or labor conditions.",FALSE,
35725,"""All quiet on the social work front': Experiences of Zimbabwean day labourers in South Africa","Migration, particularly when triggered by economic or political hardship, has significant psychological and socio-economic consequences for the individuals concerned. While an impressive amount of research has been conducted by social workers into migration in North America, Europe and Asia, the same cannot be said for Africa. The continent has high numbers of displaced people and refugees, yet no Africa-linked research on migration has been published by the social work profession. This article addresses this gap in the literature by focusing specifically on Zimbabwean day labourers in South Africa. Survey results reveal that these migrants face intense competition for scarce jobs, and thus economic uncertainty, and are often victimised. It is incumbent upon the social work profession to expose the vulnerable conditions in which day labourers have to operate, and to mobilise a coordinated response from relevant government and non-profit organisations in the interests of greater social justice and harmony.",True,"The paper explicitly focuses on Zimbabwean day labourers (migrant workers) in South Africa, examining their working conditions, competition for jobs, economic uncertainty, and calls for social work interventions to address their vulnerable labor conditions.",TRUE,
114625,Using Structural Social Work Theory to Drive Anti-Oppressive Practice With Latino Immigrants,"Using Structural Social Work Theory to Drive Anti-Oppressive Practice With Latino Immigrants Arturo Carrillo Caitlin L. O'Grady Abstract: Social work practice with marginalized populations not only requires intervention to address individuals’ immediate service needs, but also requires intervention to address the larger structural context that impacts well-being. Critical theoretical frameworks, such as Structural Social Work (SSW) theory, are essential in helping social workers to develop a comprehensive understanding of the manner in which social systems are intentionally designed to oppress marginalized populations, including immigrant and refugee communities. SSW serves to both understand how society’s structure causes social problems and to identify how these structures must be changed in order to alleviate harm. Focusing specifically on Latino immigrants, this article presents an overview of SSW theory and discusses its relevance to social work practitioners. This SSW framework w",False,"The paper discusses structural social work theory and anti-oppressive practice with Latino immigrants broadly, without specific attention to work, employment, or labor conditions.",FALSE,
18577,Understanding of Diversity and Inclusion in a Perceived Homogeneous Culture: A Study of Organizational Commitment and Job Performance Among Korean Employees,"There is growing evidence indicating that diversity and inclusion are critical predictors of organizational commitment and job performance. Social workers and managers who work with clients of diverse backgrounds as well as with immigrants need to have a clear understanding of diversity in its widest context. Utilizing a sample of 381 employees who were matched with their supervisors in a large Korean corporation, the article examined the relationships between diversity, inclusion, organizational commitment, and job performance. Gender, age, regional affiliation, education, and position within the organization emerged as diversity characteristics that were specifically related to employees' sense of inclusion. Specifically, men, older employees, and employees with higher position were more committed to the organization, while, inclusion had a significant impact on organizational commitment as well as job performance. We discuss implications for management initiatives that are focused on creating an inclusive work place.",False,"The study examines organizational commitment and job performance among domestic Korean employees based on internal diversity characteristics (gender, age, regional affiliation), mentioning immigrants only peripherally as general context for diversity management without focusing on migrant workers, labor migration, or employment conditions specific to migrant populations.",FALSE,
36344,Mentoring Youth Across Cultures Incorporating Different Worldviews: A Zones of Proximal Exploration Model,"Mentoring is an ongoing, regular, reciprocal process of advice-sharing, involving a mentor and a protege in an agreed pattern over an extended period. In this article the need for cross-cultural, immigrant youth mentoring is demonstrated and acculturation issues in educational, employment, and social and family environments are highlighted. A grounded approach is described using a new conceptual model of zones of proximal exploration drawing on the work of sociocultural, educational, and developmental theorists to incorporate the social context of both parties involved in conjunction with a person-focused approach based on a new behavior motivation matrix and the work of Gardner, Kohlberg, and Maslow.",False,"The paper focuses on mentoring and acculturation of immigrant youth across educational, social, and family contexts, with employment mentioned only peripherally as one acculturation environment rather than centering on migrant workers or labor conditions.",TRUE,
56990,"Hidden behind closed doors: Non-standard employment, migrant women and gender regimes in Europe","Non-standard employment (NSE) is well-documented in the domestic sector in all European countries. The precariousness and poor working conditions of this sector reflect in a labour force composed by the most vulnerable layers of the labour market, namely, migrant women. This article analyses how and to what extent a macro-level factor, that is, the gender regime (resulting from the interplay of gender equality and gendered social norms) interacts with micro-level individual and occupational characteristics to shape the prevalence of NSE in the domestic sector in Europe. We use the 2019 EU-LFS data and run a set of logistic regression analyses. Our results show that NSE is a defining feature of domestic sector, and that migrant women are at a higher risk of being in this type of employment, especially in destination countries where gender equality is relatively lower and expectations concerning care and family responsibilities are more traditional.",True,"The paper explicitly focuses on migrant women workers in domestic employment, analyzing their precarious working conditions and non-standard employment in relation to gender regimes, with labor conditions and migrant worker status as central themes.",TRUE,
999,Co-authorship Networks in Left-Behind Children Research in China: A Social Network Analysis,"Purpose This study investigates collaboration dynamics within Chinese left-behind children (LBC) research through co-authorship network analysis.Method Using Web of Science data from 2017 to 2023, the study maps a research network involving 886 authors and 1,944 links.Results The analysis reveals sparse collaboration and fragmented structure, predominantly featuring single-paper contributors. Notable institutions such as Zhejiang Normal University, Zhejiang University, and Anhui Medical University have emerged as pivotal hubs facilitating interdisciplinary LBC research. Their prominence is attributed to geographic proximity and institutional emphasis on LBC-related studies. This study identifies key authors and influential contributors, shedding light on knowledge dissemination.Conclusions The findings underscore the need for targeted support mechanisms for pivotal institutions and advocate for cross-cluster collaborations to enhance research cohesion and impact. Emphasizing the significance of fostering a dedicated LBC research community, the utility of social network analysis in revealing collaboration patterns, and informing strategic interventions in social work.",True,"The paper focuses on left-behind children, a population directly defined by parental labor migration, making it substantively about families of migrant workers where work migration is central to the phenomenon being studied.",TRUE,
51963,Organizing for Immigrant Rights: Policy Barriers and Community Campaigns,"Immigration to Canada has changed in basic ways the composition of the labor force. Over the past 40 years, a large wave of immigrants has arrived from the countries of the ""Global South"". Many have arrived with high levels of education and qualifications; however, the jobs they receive are at the bottom of the labor market. The Immigrant Workers Center (IWC) in Montreal is an organization that provides individual services, education on rights, and organizes immigrant workers for workplace justice. This article describes three campaigns led by the center. They reflect the exclusion of immigrant workers from coverage in policy areas related to heath care, compensation for workplace injury, and benefits for collective lay-offs in the textile sector. The article concludes with some of the lessons learned in these campaigns.",True,"The paper explicitly focuses on immigrant workers, their labor market position, workplace justice, and campaigns addressing workplace injury compensation and lay-off benefits in the textile sector.",TRUE,
105691,Case Study of a Gay Mexican American.,"This paper presents the life story of a fifty-three year old social worker from a Mexican American migrant family as he struggled to get an education, come to terms with his gayness and heal the wounds that he received in life. He reflects on the various stages of his life identifying major themes and strengths. In many ways this is the story of the price he paid to be and become an authentic self.",False,"The paper focuses on the subject's gay identity, education, and personal development, with 'migrant family' serving only as background demographic context rather than addressing labor migration, work conditions, or the experience of being a migrant worker.",FALSE,
81393,The bridge: A group for Chinese immigrant parents transitioning their children to an American preschool,"Entering the school system is a life-changing experience for children and families, dramatically expanding the social world of the child and injecting a broad range of cognitive, social, and cultural influences on his or her development. This is especially true for immigrant children and families who are faced with the additional task of negotiating the push and pull between retaining a cultural identity and assimilating into mainstream society. This article explores the role and potential impact of an educational support group for Chinese immigrant parents who enroll their children in American preschools. It delineates the successes and challenges. It also suggests a framework for group work with immigrant parents, especially from Chinese descent, with particular consideration to the influence of cultural, environmental, and worker factors on group process. © Taylor & Francis Group, LLC.",False,"The paper focuses on educational support groups and cultural transition for immigrant parents enrolling children in preschool, addressing acculturation and identity rather than labor conditions or work migration, despite a brief mention of 'worker factors' in the context of group process dynamics.",TRUE,
126024,"Acculturation, socioeconomic factor and obesity among immigrants from El Salvador living in the Washington, D.C. area.","This study examined acculturation, SES, and obesity in a convenience sample of 1,205 Salvadorian immigrants from the Washington, DC area. Acculturation was measured by language preference for print and electronic media and years residing in the U.S. Obesity was measured by the percentoverweight based on body mass index norms. About 30% of respondents were overweight. Acculturation was positively associated with obesity and together with other variables in the model explained 45% of the variance in obesity. Preference for Spanish media was strongest in the older age group.Doctors and TV were the most frequently cited sources of health information. Social workers and health educators can use this information to develop culturally competent interventions and research in Hispanic populations. (Journal abstract.)",False,"The paper focuses on health outcomes (obesity) and acculturation among Salvadoran immigrants without addressing work, employment, or labor conditions.",FALSE,
57507,"""Unless we are Native, we are all immigrants to Canada"": Tensions between multicultural inclusion and settler-colonial consciousness among Canadian social workers","This paper presents a discourse analysis of how social work values, knowledge, and attitudes toward immigrants are represented in 173 open-ended responses to a national survey (n = 1125) of Canadian social workers attitudes toward immigrants. Through discourse analysis of social workers' commentary, we discuss notable tensions between social workers' affinity for multicultural inclusion and their critiques of Canadian settler-colonialism. While respondents broadly emphasize ""respect for diversity"" and the need to advocate for immigrants as expressions of their Canadian and social work identity, some suggest that inequalities facing Indigenous communities should be addressed before Canada continues to increase its investment in immigration. We consider how dichotomizing concerns for Indigenous and immigrant communities reflect the limits of multicultural inclusion and the need to further decolonize social work education and practice. Paper to be submitted to Journal of Ethnic and Cultural Diversity in Social Work",False,"The paper examines social workers' attitudes toward immigrants and tensions between multicultural inclusion and settler-colonial consciousness, focusing broadly on immigrant populations and social work practice without addressing work, employment, or labor dimensions of migration.",FALSE,
42392,Patterns of service utilization among pre-certified victims of human trafficking,"This exploratory study examined factors associated with service utilization among pre-certified victims of human trafficking. The Andersen-Newman model of service utilization guided the examination of the predisposing, enabling and need factors associated with service utilization. Tier level of country of origin was associated with the use of information and referral services; referral source was associated with the use of mental health services; and type of trafficking was associated with the use of mental health services and information and referral services. Type of trafficking predicted the total number of services utilized. Victims of sex trafficking used fewer services compared with victims of labor trafficking.",True,"The paper explicitly examines labor trafficking victims (distinct from sex trafficking victims) and references 'country of origin' and tier levels, indicating these are international migrants subjected to forced labor, which directly matches the inclusion criterion for labor trafficking of migrants.",FALSE,
41670,Ableism and economic rationalism in Australian immigration,"This article is an analysis of the current immigration policy in Australia from the perspective of critical social work. The analysis is based on the outcomes of the immigration applications of three families of children with disabilities. It is argued that, as seen in the experience of the three families, Australian immigration policy is markedly underpinned by ableism and economic rationalism, rendering the assessment process to determine immigration eligibility patently discriminatory against people with disabilities and their families. Such discriminatory practice is seen as a challenge for social work practice.",False,"The paper examines disability discrimination in Australian immigration policy for families with disabled children, focusing on healthcare cost assessments (ableism/economic rationalism), with no mention of labor migration, working conditions, or employment-related mobility.",FALSE,
18213,"Women, migration and HIV/AIDS in Kenya","This study focused on HIV/AIDS, women and migration in Kenya. Feelings of isolation, high costs of living, pressure to get married, and granting sexual favours to employers increased likelihood of the women becoming infected. The government needs to tighten regulations protecting migrant workers and set up supportive networks for them.",True,"The abstract explicitly discusses migrant workers, their labor conditions (pressure from employers, need for protective regulations), and specifically mentions 'granting sexual favours to employers' as a workplace-related vulnerability, making this centrally about migrant workers.",TRUE,
97286,Empowering Children Left Behind in China,"In the last two decades in rural China, increasing numbers of children of economic migrants have been left behind with kin, which is of growing concern for social work and welfare policy. The genesis of this rural to urban migration has been China’s rapid economic development and greater opportunities for work in better paying jobs in cities. However, there is growing evidence of the negative impact upon these children. This paper reports the views of caregivers (n=23) and school personnel (n=5) from a small town in Northeast China. Interviews sought adults opinions on these children’s needs, with the major outcome being children’s need to be empowered – to be respected, to express themselves, to have influence, and to be supported to be able to more fully participate in education and their communities. We argue that caregiver strategies to empower children left behind provide insight into culturally appropriate processes and practices that underpin social inclusion. However, some discrepancies between the views of caregivers and school personnel alert us to the potential for tension between family and broader community and institutional views. Implications for social work practice include responding to the cultural values embedded in child rearing practices and local ideas about children’s entitlements.",True,"The paper explicitly examines children left behind by parents who migrated for economic work opportunities ('economic migrants' seeking 'better paying jobs'), directly addressing the families of migrant workers criterion.",TRUE,
80159,Rights of migrant labour at the alang ship breaking yard,"Labour rights are a debatable issue worldwide. With the increase in industrialisation and urbanisation, it has been observed that people move from rural areas to urban-based industries. This migration of labour calls for various labour rights and becomes paramount, especially when appropriate working and living conditions are curtailed. This article reviews the labour rights of those working in hazardous industries like ship breaking and explores the underlying factors that contribute to the violation of labour rights. The article also focuses on the relevance of labour rights In the Alang Ship Breaking Yard.",True,"The paper explicitly examines rural-to-urban migrant workers in the ship breaking industry, focusing on their labor rights, working conditions, and violations of those rights in a hazardous occupation.",TRUE,
121279,Perceived morbidity and health seeking behaviour of women migrant workers: A public health focus,"Migration is found to have a significant impact on the socio-economic development of a region or a country. Health is deemed to be central to the social, economic and environmental dimensions of the sustainable development agenda, both as a beneficiary and a contributor. Sustainable development goals recognize the importance and interrelation between health and migration. It considers health as an indicator of ‘people-centred, rights-based, inclusive, and equitable development' (U.N., 2015). The review has aimed at understanding the perceived morbidity and health-seeking behaviour among women migrant workers. This paper encapsulates the relation between climate change and health on women migrants. It is thereby helping to understand the potential health issues faced by female migrant workers as a result of climate change along with addressing their challenges and barrier faced by the female migrants in availing health services. The paper suggests the needed changes to be adopted to help provide better health care facilities for the women migrant workers, thereby being able to reduce the threat of outbreak as well as to improve the public health. The study has both research and policy implications.",True,"The paper explicitly examines health-seeking behavior and barriers to health services among women migrant workers, fitting the criterion of addressing services for migrant worker populations.",TRUE,
116109,Perceived morbidity and health seeking behaviour of women migrant workers: A public health focus,"Migration is found to have significant impact on socio-economic development of a region or a country. Health is deemed to be central to the social, economic and environmental dimensions of the sustainable development agenda, both as a beneficiary and a contributor. Sustainable development goals recognise the importance and interrelation between health and migration. It considers health as an indicator of ‘people-centred, rights-based, inclusive, and equitable development’ (UN, 2015). The review has aimed at understanding the perceived morbidity and health seeking behaviour among women migrant workers. This paper encapsulates the relation between climate change and health on women migrants. Thereby helping to understand the potential health issues faced by female migrant workers as a result of climate change along with addressing their challenges and barrier faced by the female migrants in availing health services. The paper suggest the needed changes to be adopted to help provide bett",True,"The paper explicitly focuses on women migrant workers and examines their health seeking behavior and barriers to accessing health services, which fits the criterion of addressing services for migrant worker populations, though the primary focus is on general public health rather than occupational or labor-specific conditions.",TRUE,
